"SEXO","EDAD","PAIS","AÑO ESTIMACION","CODREGEO","REGION","CENSO AJUSTADO","RRAA_REGULAR","RRAA_IRREGULAR","RRAA_TOTAL","ESTIMACION"
"H","70 A 74","PERÚ",2022,3,"ANTOFAGASTA","44","10","1","11",55
"H","70 A 74","PERÚ",2022,4,"ATACAMA","5","3","","3",8
"H","70 A 74","PERÚ",2022,5,"COQUIMBO","9","3","","3",12
"H","70 A 74","PERÚ",2022,6,"VALPARAÍSO","32","6","","6",38
"H","70 A 74","PERÚ",2022,7,"METROPOLITANA DE SANTIAGO","689","91","9","100",789
"H","70 A 74","PERÚ",2022,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","10","1","","1",11
"H","70 A 74","PERÚ",2022,9,"MAULE","3","","","",3
"H","70 A 74","PERÚ",2022,10,"ÑUBLE","4","1","1","2",6
"H","70 A 74","PERÚ",2022,11,"BIOBÍO","4","","","",4
"H","70 A 74","PERÚ",2022,12,"LA ARAUCANÍA","8","","","",8
"H","70 A 74","PERÚ",2022,13,"LOS RÍOS","","2","","2",2
"H","70 A 74","PERÚ",2022,14,"LOS LAGOS","4","2","","2",6
"H","70 A 74","PERÚ",2022,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","1","","","",1
"H","70 A 74","PERÚ",2022,17,"REGIÓN IGNORADA","","1","4","5",5
"H","70 A 74","R. DOMINICANA",2018,5,"COQUIMBO","1","","","",1
"H","70 A 74","R. DOMINICANA",2018,7,"METROPOLITANA DE SANTIAGO","7","","","",7
"H","70 A 74","R. DOMINICANA",2018,11,"BIOBÍO","1","","","",1
"H","70 A 74","R. DOMINICANA",2019,4,"ATACAMA","","","1","1",1
"H","70 A 74","R. DOMINICANA",2019,5,"COQUIMBO","1","","","",1
"H","70 A 74","R. DOMINICANA",2019,6,"VALPARAÍSO","","1","","1",1
"H","70 A 74","R. DOMINICANA",2019,7,"METROPOLITANA DE SANTIAGO","6","","1","1",7
"H","70 A 74","R. DOMINICANA",2019,11,"BIOBÍO","1","","","",1
"H","70 A 74","R. DOMINICANA",2020,4,"ATACAMA","","","1","1",1
"H","70 A 74","R. DOMINICANA",2020,5,"COQUIMBO","1","","","",1
"H","70 A 74","R. DOMINICANA",2020,6,"VALPARAÍSO","1","","","",1
"H","70 A 74","R. DOMINICANA",2020,7,"METROPOLITANA DE SANTIAGO","5","1","2","3",8
"H","70 A 74","R. DOMINICANA",2020,11,"BIOBÍO","1","","","",1
"H","70 A 74","R. DOMINICANA",2020,14,"LOS LAGOS","1","","","",1
"H","70 A 74","R. DOMINICANA",2021,4,"ATACAMA","","","1","1",1
"H","70 A 74","R. DOMINICANA",2021,5,"COQUIMBO","1","","","",1
"H","70 A 74","R. DOMINICANA",2021,6,"VALPARAÍSO","1","","","",1
"H","70 A 74","R. DOMINICANA",2021,7,"METROPOLITANA DE SANTIAGO","4","2","2","4",8
"H","70 A 74","R. DOMINICANA",2021,13,"LOS RÍOS","","","1","1",1
"H","70 A 74","R. DOMINICANA",2021,14,"LOS LAGOS","1","","","",1
"H","70 A 74","R. DOMINICANA",2022,4,"ATACAMA","","","1","1",1
"H","70 A 74","R. DOMINICANA",2022,5,"COQUIMBO","1","","","",1
"H","70 A 74","R. DOMINICANA",2022,6,"VALPARAÍSO","2","","","",2
"H","70 A 74","R. DOMINICANA",2022,7,"METROPOLITANA DE SANTIAGO","3","2","1","3",6
"H","70 A 74","R. DOMINICANA",2022,13,"LOS RÍOS","","","1","1",1
"H","70 A 74","R. DOMINICANA",2022,14,"LOS LAGOS","1","","","",1
"H","70 A 74","URUGUAY",2018,3,"ANTOFAGASTA","1","","","",1
"H","70 A 74","URUGUAY",2018,5,"COQUIMBO","5","","","",5
"H","70 A 74","URUGUAY",2018,6,"VALPARAÍSO","7","1","","1",8
"H","70 A 74","URUGUAY",2018,7,"METROPOLITANA DE SANTIAGO","48","","","",48
"H","70 A 74","URUGUAY",2018,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","2","","","",2
"H","70 A 74","URUGUAY",2018,9,"MAULE","3","","","",3
"H","70 A 74","URUGUAY",2018,11,"BIOBÍO","4","","","",4
"H","70 A 74","URUGUAY",2018,13,"LOS RÍOS","1","","","",1
"H","70 A 74","URUGUAY",2018,14,"LOS LAGOS","2","","","",2
"H","70 A 74","URUGUAY",2019,3,"ANTOFAGASTA","1","","","",1
"H","70 A 74","URUGUAY",2019,5,"COQUIMBO","5","","","",5
"H","70 A 74","URUGUAY",2019,6,"VALPARAÍSO","8","1","","1",9
"H","70 A 74","URUGUAY",2019,7,"METROPOLITANA DE SANTIAGO","50","","","",50
"H","70 A 74","URUGUAY",2019,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","1","","","",1
"H","70 A 74","URUGUAY",2019,9,"MAULE","3","","","",3
"H","70 A 74","URUGUAY",2019,11,"BIOBÍO","4","","","",4
"H","70 A 74","URUGUAY",2019,13,"LOS RÍOS","1","","","",1
"H","70 A 74","URUGUAY",2019,14,"LOS LAGOS","1","","","",1
"H","70 A 74","URUGUAY",2019,17,"REGIÓN IGNORADA","","","1","1",1
"H","70 A 74","URUGUAY",2020,3,"ANTOFAGASTA","1","","","",1
"H","70 A 74","URUGUAY",2020,5,"COQUIMBO","2","","","",2
"H","70 A 74","URUGUAY",2020,6,"VALPARAÍSO","10","","","",10
"H","70 A 74","URUGUAY",2020,7,"METROPOLITANA DE SANTIAGO","49","","","",49
"H","70 A 74","URUGUAY",2020,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","2","","","",2
"H","70 A 74","URUGUAY",2020,9,"MAULE","3","","","",3
"H","70 A 74","URUGUAY",2020,11,"BIOBÍO","2","","","",2
"H","70 A 74","URUGUAY",2020,13,"LOS RÍOS","1","","","",1
"H","70 A 74","URUGUAY",2020,14,"LOS LAGOS","1","","","",1
"H","70 A 74","URUGUAY",2020,17,"REGIÓN IGNORADA","","1","1","2",2
"H","70 A 74","URUGUAY",2021,2,"TARAPACÁ","1","","","",1
"H","70 A 74","URUGUAY",2021,3,"ANTOFAGASTA","2","","","",2
"H","70 A 74","URUGUAY",2021,5,"COQUIMBO","1","","","",1
"H","70 A 74","URUGUAY",2021,6,"VALPARAÍSO","8","","","",8
"H","70 A 74","URUGUAY",2021,7,"METROPOLITANA DE SANTIAGO","50","1","","1",51
"H","70 A 74","URUGUAY",2021,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","3","1","","1",4
"H","70 A 74","URUGUAY",2021,9,"MAULE","2","","","",2
"H","70 A 74","URUGUAY",2021,13,"LOS RÍOS","1","","","",1
"H","70 A 74","URUGUAY",2021,14,"LOS LAGOS","2","","","",2
"H","70 A 74","URUGUAY",2021,17,"REGIÓN IGNORADA","","1","1","2",2
"H","70 A 74","URUGUAY",2022,2,"TARAPACÁ","2","","","",2
"H","70 A 74","URUGUAY",2022,3,"ANTOFAGASTA","2","","","",2
"H","70 A 74","URUGUAY",2022,6,"VALPARAÍSO","7","","","",7
"H","70 A 74","URUGUAY",2022,7,"METROPOLITANA DE SANTIAGO","57","2","1","3",60
"H","70 A 74","URUGUAY",2022,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","4","1","","1",5
"H","70 A 74","URUGUAY",2022,9,"MAULE","1","1","","1",2
"H","70 A 74","URUGUAY",2022,13,"LOS RÍOS","1","","","",1
"H","70 A 74","URUGUAY",2022,14,"LOS LAGOS","1","","","",1
"H","70 A 74","URUGUAY",2022,17,"REGIÓN IGNORADA","","1","","1",1
"H","70 A 74","VENEZUELA",2018,2,"TARAPACÁ","1","","","",1
"H","70 A 74","VENEZUELA",2018,3,"ANTOFAGASTA","","3","","3",3
"H","70 A 74","VENEZUELA",2018,4,"ATACAMA","","1","","1",1
"H","70 A 74","VENEZUELA",2018,5,"COQUIMBO","2","3","","3",5
