"";"pais";"año";"estimacion";"cut_comuna";"comuna";"cut_region";"region"
"66";"ALEMANIA";"2019";38;13119;"Maipú";13;"Metropolitana de Santiago"
"67";"ALEMANIA";"2019";5;13501;"Melipilla";13;"Metropolitana de Santiago"
"68";"ALEMANIA";"2019";89;13122;"Peñalolén";13;"Metropolitana de Santiago"
"69";"ALEMANIA";"2019";568;13123;"Providencia";13;"Metropolitana de Santiago"
"70";"ALEMANIA";"2019";12;13124;"Pudahuel";13;"Metropolitana de Santiago"
"71";"ALEMANIA";"2019";52;13201;"Puente Alto";13;"Metropolitana de Santiago"
"72";"ALEMANIA";"2019";15;13125;"Quilicura";13;"Metropolitana de Santiago"
"73";"ALEMANIA";"2019";15;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"74";"ALEMANIA";"2019";41;13127;"Recoleta";13;"Metropolitana de Santiago"
"75";"ALEMANIA";"2019";25;13401;"San Bernardo";13;"Metropolitana de Santiago"
"76";"ALEMANIA";"2019";13;13129;"San Joaquín";13;"Metropolitana de Santiago"
"77";"ALEMANIA";"2019";23;13130;"San Miguel";13;"Metropolitana de Santiago"
"78";"ALEMANIA";"2019";297;13101;"Santiago";13;"Metropolitana de Santiago"
"79";"ALEMANIA";"2019";462;13132;"Vitacura";13;"Metropolitana de Santiago"
"80";"ALEMANIA";"2019";325;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"81";"ALEMANIA";"2019";2;1107;"Alto Hospicio";1;"Tarapacá"
"82";"ALEMANIA";"2019";39;1101;"Iquique";1;"Tarapacá"
"83";"ALEMANIA";"2019";144;5101;"Valparaíso";5;"Valparaíso"
"84";"ALEMANIA";"2019";292;5109;"Viña del Mar";5;"Valparaíso"
"85";"ALEMANIA";"2020";44;2101;"Antofagasta";2;"Antofagasta"
"86";"ALEMANIA";"2020";17;2201;"Calama";2;"Antofagasta"
"87";"ALEMANIA";"2020";29;15101;"Arica";15;"Arica y Parinacota"
"88";"ALEMANIA";"2020";17;3101;"Copiapó";3;"Atacama"
"89";"ALEMANIA";"2020";136;8101;"Concepción";8;"Biobío"
"90";"ALEMANIA";"2020";29;4102;"Coquimbo";4;"Coquimbo"
"91";"ALEMANIA";"2020";76;4101;"La Serena";4;"Coquimbo"
"92";"ALEMANIA";"2020";118;9101;"Temuco";9;"La Araucanía"
"93";"ALEMANIA";"2020";18;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"94";"ALEMANIA";"2020";57;10101;"Puerto Montt";10;"Los Lagos"
"95";"ALEMANIA";"2020";12;7301;"Curicó";7;"Maule"
"96";"ALEMANIA";"2020";57;7101;"Talca";7;"Maule"
"97";"ALEMANIA";"2020";4;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"98";"ALEMANIA";"2020";89;13301;"Colina";13;"Metropolitana de Santiago"
"99";"ALEMANIA";"2020";6;13104;"Conchalí";13;"Metropolitana de Santiago"
"100";"ALEMANIA";"2020";27;13106;"Estación Central";13;"Metropolitana de Santiago"
"101";"ALEMANIA";"2020";16;13108;"Independencia";13;"Metropolitana de Santiago"
"102";"ALEMANIA";"2020";4;13109;"La Cisterna";13;"Metropolitana de Santiago"
"103";"ALEMANIA";"2020";101;13110;"La Florida";13;"Metropolitana de Santiago"
"104";"ALEMANIA";"2020";823;13114;"Las Condes";13;"Metropolitana de Santiago"
"105";"ALEMANIA";"2020";212;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"106";"ALEMANIA";"2020";2;13117;"Lo Prado";13;"Metropolitana de Santiago"
"107";"ALEMANIA";"2020";35;13118;"Macul";13;"Metropolitana de Santiago"
"108";"ALEMANIA";"2020";42;13119;"Maipú";13;"Metropolitana de Santiago"
"109";"ALEMANIA";"2020";5;13501;"Melipilla";13;"Metropolitana de Santiago"
"110";"ALEMANIA";"2020";91;13122;"Peñalolén";13;"Metropolitana de Santiago"
"111";"ALEMANIA";"2020";580;13123;"Providencia";13;"Metropolitana de Santiago"
"112";"ALEMANIA";"2020";12;13124;"Pudahuel";13;"Metropolitana de Santiago"
"113";"ALEMANIA";"2020";54;13201;"Puente Alto";13;"Metropolitana de Santiago"
"114";"ALEMANIA";"2020";16;13125;"Quilicura";13;"Metropolitana de Santiago"
"115";"ALEMANIA";"2020";18;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"116";"ALEMANIA";"2020";41;13127;"Recoleta";13;"Metropolitana de Santiago"
"117";"ALEMANIA";"2020";28;13401;"San Bernardo";13;"Metropolitana de Santiago"
"118";"ALEMANIA";"2020";12;13129;"San Joaquín";13;"Metropolitana de Santiago"
"119";"ALEMANIA";"2020";23;13130;"San Miguel";13;"Metropolitana de Santiago"
"120";"ALEMANIA";"2020";391;13101;"Santiago";13;"Metropolitana de Santiago"
"121";"ALEMANIA";"2020";473;13132;"Vitacura";13;"Metropolitana de Santiago"
"122";"ALEMANIA";"2020";329;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"123";"ALEMANIA";"2020";2;1107;"Alto Hospicio";1;"Tarapacá"
"124";"ALEMANIA";"2020";40;1101;"Iquique";1;"Tarapacá"
"125";"ALEMANIA";"2020";151;5101;"Valparaíso";5;"Valparaíso"
"126";"ALEMANIA";"2020";299;5109;"Viña del Mar";5;"Valparaíso"
"127";"ALEMANIA";"2021";43;2101;"Antofagasta";2;"Antofagasta"
"128";"ALEMANIA";"2021";20;2201;"Calama";2;"Antofagasta"
"129";"ALEMANIA";"2021";30;15101;"Arica";15;"Arica y Parinacota"
"130";"ALEMANIA";"2021";21;3101;"Copiapó";3;"Atacama"
"131";"ALEMANIA";"2021";144;8101;"Concepción";8;"Biobío"
"132";"ALEMANIA";"2021";31;4102;"Coquimbo";4;"Coquimbo"
"133";"ALEMANIA";"2021";80;4101;"La Serena";4;"Coquimbo"
"134";"ALEMANIA";"2021";122;9101;"Temuco";9;"La Araucanía"
"135";"ALEMANIA";"2021";16;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"136";"ALEMANIA";"2021";59;10101;"Puerto Montt";10;"Los Lagos"
"137";"ALEMANIA";"2021";12;7301;"Curicó";7;"Maule"
